id,repo_id,label,url,if_mulit_commit,message,new_message1,authorEmail,commitDate
362,1,0,https://github.com/junit-team/junit4/commit/a90b496a6595856066504baf4f737fb853a6e45d, ,"Ensure exceptions from methodBlock() don't result in unrooted tests. <enter>  <enter> The introduction of the runLeaf() method in BlockJUnit4ClassRunner in <enter> JUnit 4.9 introduced a regression with regard to exception handling. <enter>  <enter> Specifically, the invocation of methodBlock() is no longer executed <enter> within a try-catch block as was the case in previous versions of JUnit. <enter>  <enter> Custom modifications to methodBlock() or the methods it invokes may in <enter> fact throw exceptions. In such cases, exceptions thrown from <enter> methodBlock() cause the current test execution to abort immediately. As <enter> a result, the failing test method is unrooted in test reports, and <enter> subsequent test methods are never invoked. Furthermore, RunListeners <enter> registered with JUnit are not notified. <enter>  <enter> This commit addresses this issue by wrapping the invocation of <enter> methodBlock() within a try-catch block. If an exception is not thrown, <enter> the resulting Statement is passed to runLeaf(). If an exception is <enter> thrown, it is wrapped in a Fail statement which is passed to runLeaf(). <enter>  <enter> Closes #1066 <enter> Closes #1082","Ensure exceptions from <iden>() don't result in unrooted tests.  <enter> The introduction of the <iden>() method in  <file_name>  in <iden> <version> introduced a regression with regard to exception handling. <enter> Specifically, the invocation of <iden>() is no longer executed within a try-catch block as was the case in previous versions of <iden>. <enter> <iden> modifications to <iden>() or the methods it invokes may in fact throw exceptions. In such cases, exceptions thrown from <iden>() cause the current test execution to abort immediately. As a result, the failing test method is unrooted in test reports, and subsequent test methods are never invoked. Furthermore, RunListeners registered with <iden> are not notified. <enter> This commit addresses this issue by wrapping the invocation of <iden>() within a try-catch block. If an exception is not thrown, the resulting <iden> is passed to <iden>(). If an exception is thrown, it is wrapped in a <iden> statement which is passed to <iden>(). <enter>  Closes <link> Closes <link> ",developer170,2015-02-15T20:53:52Z
670,1,3,https://github.com/junit-team/junit4/commit/01768666d362391a57a7e5989d23b6b1d1789eb0, ,Add info on --filter option,Add info on --filter option ,developer171,2014-12-03T21:15:31Z
316,1,0,https://github.com/junit-team/junit4/commit/24dfdd762e753c83babca3768d4b508cf5c6a86c, ,Fix dead link to the ant task in FAQ (#1478) <enter>  <enter> Documentation to the ant junit task has been moved to another location.,Fix dead link to the ant task in  <file_name>  ( <link> )  <enter> <iden> to the ant junit task has been moved to another location. ,developer172,2017-08-08T10:38:45Z
8103,4,0,https://github.com/square/okhttp/commit/6b17f9edf338173c6491cc30feeb6e4ff539be9d, ,"Doc: OkHttpClient should be treated as immutable once shared <enter>  <enter> ...given that requirement, it's safe for many threads to call the <enter> open() method concurrently to open their own connections. <enter>  <enter> https://github.com/square/okhttp/pull/634#discussion_r10487815","Doc:  <file_name>  should be treated as immutable once shared  <enter> ...given that requirement, it's safe for many threads to call the open() method concurrently to open their own connections. <enter>  <link> ",developer173,2014-03-11T19:57:33Z
18476,5,0,https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e, ,Fix typos in the documentation: though -> through <enter>  <enter> Closes gh-1510,Fix typos in the documentation: though -> through  <enter> Closes <link> ,developer174,2014-09-05T09:34:20Z
2811,2,0,https://github.com/apache/dubbo/commit/53dca537089441e84160391c8f7efd7b40dd9155, ,Remove redundant judgment (#5456),Remove redundant judgment ( <link> ) ,developer175,2019-12-11T08:37:21Z
1464,1,0,https://github.com/junit-team/junit4/commit/0733bbffdadf05a6ebe0c38942904071a4060af4, ,#769 Fix many warnings (Eclipse 4.2/Juno based) <enter> - Enh: add new 'staticondemandthreshold' setting to eclipse project jdt.ui preference settings file (although this is in fact not related to kcooney's import ordering change comment),<link> Fix many warnings (Eclipse <version>/Juno based)  <enter> - Enh: add new 'staticondemandthreshold' setting to eclipse project jdt.ui preference settings file (although this is in fact not related to kcooney's import ordering change comment) ,developer176,2014-02-12T10:26:05Z
5775,3,3,https://github.com/square/retrofit/commit/00a2db876fc5c0447a3617837894f30890cde367, ,Adding GET support to RestAdapter,Adding GET support to  <file_name>  ,developer177,2011-01-20T18:44:53Z
7734,4,0,https://github.com/square/okhttp/commit/c8c790a6c8862778cbf8f140b19944732316f0e7, ,fix small types in the changelog,fix small types in the changelog ,developer178,2015-06-27T01:49:09Z
5586,3,3,https://github.com/square/retrofit/commit/93842291b6339a104fa781308ee19961e905abbe, ,Using Response in readme instead of SimpleResponse,Using <iden> in readme instead of <iden> ,developer179,2013-03-14T20:57:40Z
16206,5,0,https://github.com/spring-projects/spring-boot/commit/abcff3a3b382f227f257b750415975c6694d4cb2, ,Use try-with-resources in HttpTunnelPayload <enter>  <enter> See gh-11779,Use try-with-resources in  <file_name> <enter> See  <link> ,developer180,2018-01-25T18:55:38Z
7930,4,3,https://github.com/square/okhttp/commit/0b3b594e9aa167693536a2cb3493a4f64b80c0fa,1,"Squashed commit of the following: <enter>  <enter> commit d5f3ef15e9822c03dc0d107a9944f730c5c8d710 <enter> Author: Quinn Neumiiller <quinnjn@gmail.com> <enter> Date:   Tue Apr 7 16:15:51 2015 -0600 <enter>  <enter>     userRequest should always be sent back, networkRequest is included in networkResponse. <enter>  <enter> commit bc7f5372b9ad9b68affef333ec259789cd342be0 <enter> Author: Quinn Neumiiller <quinnjn@gmail.com> <enter> Date:   Mon Apr 6 20:19:27 2015 -0600 <enter>  <enter>     Updating networkRequest when interceptors touch the request, attaching the request update to the userResponse. <enter>  <enter> commit ae5b3ca59f75bc068a5cab2a68465cdef9f4f5ec <enter> Author: Quinn Neumiiller <quinnjn@gmail.com> <enter> Date:   Mon Apr 6 18:36:38 2015 -0600 <enter>  <enter>     Add a test for interceptor requests in the response","Squashed commit of the following:  <enter> commit  <link>  Author: Quinn Neumiiller <quinnjn@gmail.com> Date: Tue Apr 7 16:15:51 2015 -0600 <enter>   userRequest should always be sent back, networkRequest is included in <iden>. <enter> commit  <link>  Author: Quinn Neumiiller <quinnjn@gmail.com> Date: Mon Apr 6 20:19:27 2015 -0600 <enter>   Updating networkRequest when interceptors touch the request, attaching the request update to the userResponse. <enter> commit  <link>  Author: Quinn Neumiiller <quinnjn@gmail.com> Date: Mon Apr 6 18:36:38 2015 -0600 <enter>   Add a test for interceptor requests in the response ",developer181,2015-04-08T14:42:21Z
2525,2,0,https://github.com/apache/dubbo/commit/5668d740766f6303e789f072100cd235e4b67582, ,"Fix export provider error, change to catch throwable, handle NoClassDefFoundError (#6380)","Fix export provider error, change to catch throwable, handle NoClassDefFoundError ( <link> ) ",developer182,2020-07-01T03:42:09Z
4907,3,3,https://github.com/square/retrofit/commit/90378c89a68386b145f66b5fc2e1521d0d2b0e1d, ,Update Scala dependency,Update Scala dependency ,developer183,2018-02-17T02:31:17Z
756,1,3,https://github.com/junit-team/junit4/commit/6b943e564adcc9a7106e54c24eb5d022bed1462f, ,changed the expectedCause() method to accept a Matcher instead of an explicit Throwable and made some documentation changes,changed the <iden>() method to accept a <iden> instead of an explicit <iden> and made some documentation changes ,developer184,2012-04-19T12:05:53Z
564,1,3,https://github.com/junit-team/junit4/commit/aff46c491d590ff2fcc43d0eaa0049593f6169b4, ,closed method assertEquals with },closed method <iden> with } ,developer185,2012-05-27T18:56:07Z
1722,1,0,https://github.com/junit-team/junit4/commit/3171c4b29cb207e71fc2f752f0fbcb235bc8e784, ,"Relicense JUnit from CPL to EPL <enter>  <enter> EPL is the successor version of the CPL this makes re-licensing <enter> possible without seeking the approval of all contributors. <enter>  <enter> CPL is actively hurting JUnit adaptation, it the following cases the <enter> deciding factor against JUnit was CPL. In both cases EPL would have <enter> been fine. <enter> * Netbeans can't ship JUnit [4] <enter> * OpenJDK uses TestNG instead of JUnit [5] <enter>  <enter> Mike Milinkovich from the Eclipse Foundation wrote [1] <enter>  <enter> > Back in 2009, the CPL was superseded by the EPL. This means that the <enter> > EPL is the successor version of the CPL. It also means that using the <enter> > CPL is the licensing equivalent of using deprecated code. <enter> > <enter> > Because the EPL is the successor version to the CPL, the 'new version <enter> > re-licensing' clause in Section 7 of the CPL applies. In other words, <enter> > you can re-license your project without seeking the approval of all <enter> > of your contributors. <enter> > The CPL and EPL basically differ by about one sentence, which you can <enter> > see here. The difference relates to the scope of patent licenses <enter> > terminated should someone sue another party for patent infringement. <enter> > This is the kind of stuff that lawyers love, but most developers <enter> > don't really care about. <enter>  <enter> On the migration from CPL to EPL Mike Milinkovich wrote [2] <enter>  <enter> > There was a two step process that was followed to make this happen. <enter> > First, following the terms of the CPL, IBM assigned the <enter> > responsibility to serve as the Agreement Steward of the CPL to the <enter> > Eclipse Foundation. Second, the Eclipse Foundation officially <enter> > recognized the EPL 1.0 as the new version of the CPL 1.0. In OSI <enter> > license terminology, the EPL now supersedes the CPL. <enter> > <enter> > A quick read of the two licenses will quickly show that they are very <enter> > very close. Other than their names and (previously) their Agreement <enter> > Stewards, the only substantive difference is the breadth of the <enter> > patent license termination in the event of a patent law suit. (See <enter> > the second paragraph of Section 7.) For more information on the <enter> > relationship between the CPL and the EPL see the EPL FAQ. <enter>  <enter> You can find more information about the difference at [3]. <enter>  <enter> The new `LICENSE.txt` is based on a plain text version of the EPL with <enter> formatted so that the diff is a clean as possible. <enter>  <enter> I'll submit another pull request for the gh-pages branch. <enter>  <enter>  [1] http://mmilinkov.wordpress.com/2013/02/13/jruby-moves-to-the-epl/ <enter>  [2] http://mmilinkov.wordpress.com/2009/04/16/one-small-step-towards-reducing-license-proliferation/ <enter>  [3] http://www.eclipse.org/legal/eplfaq.php#EPLDIFFER <enter>  [4] https://netbeans.org/community/releases/70/relnotes.html#deprecated <enter>  [5] http://openjdk.java.net/jtreg/build.html","Relicense <iden> from CPL to EPL  <enter> EPL is the successor version of the CPL this makes re-licensing possible without seeking the approval of all contributors. <enter> CPL is actively hurting <iden> adaptation, it the following cases the deciding factor against <iden> was CPL. In both cases EPL would have been fine. * Netbeans can't ship <iden> [4] * OpenJDK uses TestNG instead of <iden> [5] <enter> Mike Milinkovich from the <iden> wrote [1] <enter> > Back in 2009, the CPL was superseded by the EPL. This means that the > EPL is the successor version of the CPL. It also means that using the > CPL is the licensing equivalent of using deprecated code. > > Because the EPL is the successor version to the CPL, the 'new version > re-licensing' clause in <iden> 7 of the CPL applies. In other words, > you can re- <file_name>  your project without seeking the approval of all > of your contributors. > The CPL and EPL basically differ by about one sentence, which you can > see here. The difference relates to the scope of patent licenses > terminated should someone sue another party for patent infringement. > This is the kind of stuff that lawyers love, but most developers > don't really care about. <enter> On the migration from CPL to EPL Mike Milinkovich wrote [2] <enter> > There was a two step process that was followed to make this happen. > First, following the terms of the CPL, <iden> assigned the > responsibility to serve as the <iden> of the CPL to the > <iden>. Second, the <iden> officially > recognized the EPL <version> as the new version of the CPL <version>. In OSI >  <file_name>  terminology, the EPL now supersedes the CPL. > > A quick read of the two licenses will quickly show that they are very > very close. Other than their names and (previously) their <iden> > Stewards, the only substantive difference is the breadth of the > patent  <file_name>  termination in the event of a patent law suit. (See > the second paragraph of <iden> 7.) For more information on the > relationship between the CPL and the EPL see the EPL  <method_name>  <enter> You can find more information about the difference at [3]. <enter> The new ` <file_name> ` is based on a plain text version of the EPL with formatted so that the diff is a clean as possible. <enter> I'll submit another pull request for the gh-pages branch. <enter>  [1]  <url> [2]  <url> [3]  <url>#EPLDIFFER [4]  <url>#deprecated [5]  <url> ",developer186,2013-05-18T11:16:59Z
1810,1,0,https://github.com/junit-team/junit4/commit/392c673b5f35c2c72f74a15b24afff338ba4e3a7, ,Updated URL to Google's code style repository. <enter> Document indent size. <enter>  <enter> Updating code style as per https://github.com/junit-team/junit4/pull/1306#issuecomment-221194760,Updated URL to <iden>'s code style repository.  <enter> Document indent size. <enter> Updating code style as per  <link> ,developer187,2016-05-24T07:01:38Z
5113,3,0,https://github.com/square/retrofit/commit/f4ee9e28a6380662ea0ab8a9a02adbd021ef55e8, ,Added more tests for RxJava Single type support <enter>  <enter> Single.toBlocking() is present since RxJava 1.0.16 version.,Added more tests for <iden> type support  <enter> <iden>.toBlocking() is present since <iden> <version> version. ,developer188,2016-01-02T00:32:40Z
1247,1,0,https://github.com/junit-team/junit4/commit/3189af007b26d74ca459f823d57ef77b9c1697b8, ,Remove redundant field fCause,Remove redundant field <iden> ,developer189,2014-03-03T21:57:12Z
12426,5,0,https://github.com/spring-projects/spring-boot/commit/98644df64dd4e2c0b72a5353418b31e083b63cd9, ,Stop limiting layer customization to external modules <enter>  <enter> See gh-21207,Stop limiting layer customization to external modules  <enter> See  <link> ,developer190,2020-04-28T09:25:25Z
5470,3,2,https://github.com/square/retrofit/commit/1f0920af8eb159eec3c41f159adb3d790fdff5b8, ,UserService example in MockRestAdapter should be an interface,UserService example in  <file_name>  should be an interface ,developer191,2013-11-07T21:27:32Z
4794,3,0,https://github.com/square/retrofit/commit/a429ea6f0745532f04a8c483e0b6bd0ca4a6674c, ,Update to Gson 2.8.5.,Update to Gson <version>. ,developer192,2019-04-02T13:45:46Z
7375,4,0,https://github.com/square/okhttp/commit/6a79c3223c5ff2d556bbab8eb9909fffc4ca4387, ,Update README.md -> Mockito moved to Github,Update README.md -> <iden> moved to Github ,developer193,2016-01-27T12:46:30Z
5464,3,3,https://github.com/square/retrofit/commit/9159571ec483f5b798e85c2ee94673fa1075384c, ,Last argument should be handled for observable methods,Last argument should be handled for observable methods ,developer194,2013-11-10T17:17:36Z
1077,1,2,https://github.com/junit-team/junit4/commit/b19ff583ce5cb5527dab83a1f336c7526463dac4, ,Fixed failing tests when running on Windows. <enter>  <enter> Note that File.separator is not sufficient to build an absolute path on Windows. <enter> String.format with '%n' produces a platform dependent line separator. <enter>  <enter> Closes #1409,Fixed failing tests when running on Windows.  <enter> Note that File.separator is not sufficient to build an absolute path on Windows. String.format with '%n' produces a platform dependent line separator. <enter>  Closes <link> ,developer195,2017-01-09T21:27:32Z
489,1,2,https://github.com/junit-team/junit4/commit/ebb9d7f536a5b1be8364c6cb7367cac8c3849caa, ,Implemented the changes proposed davidhart82,Implemented the changes proposed davidhart82 ,developer196,2012-06-21T17:39:39Z
18277,5,0,https://github.com/spring-projects/spring-boot/commit/a8af25476577999c33c34f5971a03251658c340d, ,"Fix description of test file to be tests.groovy <enter>  <enter> Corrected the documentation to refer to file as tests.groovy, rather <enter> than test.groovy. Updated cope snippet as tests.groovy should expect <enter> 'Hello World!' rather than 'Hello World'. <enter>  <enter> Closes gh-1593","Fix description of test file to be tests.groovy  <enter> Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect 'Hello <iden>!' rather than 'Hello <iden>'. <enter>  Closes <link> ",developer197,2014-09-20T23:56:19Z
