label,new_message1
0,"Relicense <iden> from CPL to EPL  <enter> EPL is the successor version of the CPL this makes re-licensing possible without seeking the approval of all contributors. <enter> CPL is actively hurting <iden> adaptation, it the following cases the deciding factor against <iden> was CPL. In both cases EPL would have been fine. * Netbeans can't ship <iden> [4] * OpenJDK uses TestNG instead of <iden> [5] <enter> Mike Milinkovich from the <iden> wrote [1] <enter> > Back in 2009, the CPL was superseded by the EPL. This means that the > EPL is the successor version of the CPL. It also means that using the > CPL is the licensing equivalent of using deprecated code. > > Because the EPL is the successor version to the CPL, the 'new version > re-licensing' clause in <iden> 7 of the CPL applies. In other words, > you can re- <file_name>  your project without seeking the approval of all > of your contributors. > The CPL and EPL basically differ by about one sentence, which you can > see here. The difference relates to the scope of patent licenses > terminated should someone sue another party for patent infringement. > This is the kind of stuff that lawyers love, but most developers > don't really care about. <enter> On the migration from CPL to EPL Mike Milinkovich wrote [2] <enter> > There was a two step process that was followed to make this happen. > First, following the terms of the CPL, <iden> assigned the > responsibility to serve as the <iden> of the CPL to the > <iden>. Second, the <iden> officially > recognized the EPL <version> as the new version of the CPL <version>. In OSI >  <file_name>  terminology, the EPL now supersedes the CPL. > > A quick read of the two licenses will quickly show that they are very > very close. Other than their names and (previously) their <iden> > Stewards, the only substantive difference is the breadth of the > patent  <file_name>  termination in the event of a patent law suit. (See > the second paragraph of <iden> 7.) For more information on the > relationship between the CPL and the EPL see the EPL  <method_name>  <enter> You can find more information about the difference at [3]. <enter> The new ` <file_name> ` is based on a plain text version of the EPL with formatted so that the diff is a clean as possible. <enter> I'll submit another pull request for the gh-pages branch. <enter>  [1]  <url> [2]  <url> [3]  <url>#EPLDIFFER [4]  <url>#deprecated [5]  <url> "
0,Updated URL to <iden>'s code style repository.  <enter> Document indent size. <enter> Updating code style as per  <link> 
0,Added more tests for <iden> type support  <enter> <iden>.toBlocking() is present since <iden> <version> version. 
0,Remove redundant field <iden> 
0,Stop limiting layer customization to external modules  <enter> See  <link> 
2,UserService example in  <file_name>  should be an interface 
0,Update to Gson <version>. 
0,Update README.md -> <iden> moved to Github 
3,Last argument should be handled for observable methods 
2,Fixed failing tests when running on Windows.  <enter> Note that File.separator is not sufficient to build an absolute path on Windows. String.format with '%n' produces a platform dependent line separator. <enter>  Closes <link> 
2,Implemented the changes proposed davidhart82 
0,"Fix description of test file to be tests.groovy  <enter> Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect 'Hello <iden>!' rather than 'Hello <iden>'. <enter>  Closes <link> "
0,"Support escaped characters in  <file_name> <enter> This commit adds the ability to have escaped characters, like the quote, when using the  <method_name>  It also adds a short test for escaped quotes. <enter>  Closes <link> "
3,Support querying & setting transport lists on connections.  <enter> The list is specified via a magic request property '<iden>' and can be queried via the request property '<iden>'. <enter> System wide defaults / switches don't need any changes to okhttp. They can be set as options on the OkHttpClient used by the platform UrlStreamHandlers. 
0,"Fix inconsistencies in javadocs.  <enter> These changes were made with consistency in mind, in relation to the rest of the project:  - Change self-closing <p/> tags to regular <p> tags.  - Add missing <p> tags. "
0,License link on junit.org  <enter> Added prominent link to the project's license. <enter> This patch  fixes <link> . <enter> 
2,fix return type ( <link> ) 
0,"api has changed, fixing the example "
0,"Auto-configure Neo4J <iden> when possible  <enter> Add ` <file_name> ` which provides an instance of `<iden>` if necessary and <iden> cache is on the classpath. Depending on the kind of application, the `<iden>` will be request scoped or singleton, as recommended by <iden>. <enter> See  <link> "
0,Upgrade to Dropwizard Metrics <version>  <enter> Closes <link> 
0,`response` receives null explicitly from several catch clauses => Fix nullability (override default parameter nullability set at package-info). ( <link> ) 
3,Add default constructor to  <file_name>  
3,Simplifying isEqualsRegardingNull. 
0,updates junit version to <version> 
3,Log favicon request instead of using standard output 
0," <file_name>  snapshot() method removing entries that are being cached (<link> ) <enter> Fixed a bug I found. When using  <file_name> , <iden>() method of <iden>> returned by snapshot() method iterates through lruEntries, however if entry is not completed yet, it is removed (together with dirtyFiles) as cleanFiles don't exist yet - during saving response to disk. This caused sometimes file not being cached at all. "
3,Add messagecode resolver format based on application property 
0,"In order to facilitate the consumer to better locate the failure of provider token check, the token value called by consumer will be printed out in the exception information ( <link> ) "
2,baseUrl should end with '/' 
0,Update README.md ( <link> ) 
0,Update multipart documentation. 
0,"Document <iden> response format of health endpoint  <enter> Add <iden> response format details for health endpoint, including default status codes and sample responses. <enter> See  <link> "
0,remove  <file_name>  and use the  <file_name>  replacedly ( <link>  <enter> ) <enter> * [Dubbo] move the classes of model from config to rpc-api for reusing <enter> * remove  <file_name>  and use the  <file_name>  replacedly <enter> * [Dubbo] delete the unused imported of  <file_name>  <enter> * Update  <file_name>  <enter> this commits is no need to commit to remote repo. 
0,Support protocol config for  <file_name>  annotation ( <link> ) 
3,add support for Observable requests with <iden>  <enter> <iden> interface methods may now specify Observable as a return type. 
0,[Dubbo-5592] simplify code for getExtensionLoader method ( <link> ) 
3,add <iden> for dynamicly created class 
3,set <iden> for newly generated <iden> 
2, <file_name>  3 support length 0 header value 
2,getMtu issue 
2,Package name error ( <link> ) 
3,Add current AOSP class name for <iden>  <enter> AOSP moved <iden> to com.android.org.conscrypt.* so add that as the first choice for unbundled apps. <enter> Change-Id: I7bad6533dcb86ee1cac3b15f42dd386bd651eaed 
3,add paragraph clarifying logging 
3,Expose running and queued call counts for monitoring 
1,rm dubbo-admin 
2,DUBBO-135 fix test case  <enter> <url> 
0,Update CONTRIBUTING.md 
0,Remove maven-eclipse-plugin as it has been retired  <enter> Closes <link> 
3,APIs to set date  <file_name>  
0,Make sure exception tag values are not empty in web metrics  <enter> See  <link> 
0,Ability to add Http status code to  <method_name>  ( <link> ) 
3,Update Javadoc example 
0,Add external-file-property to  <file_name> <enter> Add an additional property to  <file_name>  to allow log files to be read from an external location. This is helpful when a launch.script is used to start the boot-application and the logfile is written by a redirect of stdout/stderr. <enter>  Fixes <link> Closes <link> 
0,Bump jackson-databind to <version> 
0,Updating dependencies version 
0,Java 7 is required since <link> 
3,Add response object to  <file_name>  success.  <enter> Gives access to response headers while still converting response within retrofit. 
2,fix <iden> and retries in  <file_name>  ( <link> ) 
0,Remove boxing  <enter> See  <link> 
2,Fix mockwebserver jar download 404 
0,Making <iden> and <iden> member classes as suggested.  <enter> <link> 
3,Update javadoc 
3,Okio proguard rules link 
0,update proguard rules on README.md ( <link> ) 
0,304 Not Modified overrides <iden> and breaks cache ( <link> )  <enter> * Added failing test for changing of content encoding from (gzip to identity) * Remove <iden> IF it was not present otherwise revert it to the previously stored <iden> 
0,Polish docs  <enter> This commit replaces tabs to spaces in a yaml example for configuring endpoint web exposure include. <enter>  Closes <link> 
2,Do not attempt to restart non-restartable jobs  <enter> Closes <link> 
2,fixed javadoc 
0,Remove unused  <file_name>  from spring-boot-sample-tomcat  <enter> Closes <link> 
0,Migrate  <file_name>  to <iden> 5  <enter> See  <link> 
0,Use lambdas for map entry iteration where possible  <enter> See  <link> 
2,Fixes imports 
3,"make  <method_name>  a deterministic comparator, with Method.toString used as a tiebreaker "
0,Fix warm up issue when provider's timestamp is bigger than local machine's timestamp. ( <link> ) <enter> * Fix warm up issue when provider's timestamp is bigger than local machine's timestamp. <enter> * Remove unused constant: `REMOTE_TIMESTAMP_KEY`. 
3, <file_name> : Support <iden> / <iden> for @field 
3, <file_name>  try to load from itself <iden> when can not find resources. 
0,Close ResponseBody on 204/205 to avoid connection leak 
0,reduce the level of request data in timeout log ( <link> )  <enter> to control the size of log 
0,[Dubbo-4863] add switch of generic invocation with class info ( <link> )  <enter> fix <link> 
0,Upgrade Spring WS to <version>  <enter> Closes <link> 
0,Add support for additional <iden> listener properties  <enter> See  <link> 
3,"Replaced <br> with </p><p> in  <method_name> <enter> @dsaff @kcooney , I have replaced the <br> tag with the <p> tags. It should be fine now. Thank you  @kcooney  for spotting the issue :) "
0,Prefer interfaces over concrete classes  <enter> Makes code easier to scan by removing unnecessary noise. 
0,Document <iden>  <file_name> <enter> Update the reference documentation to include details of <iden>. <enter>  Closes <link> 
0,Release websocket transmitter before failing response <link> 
2,Dubbo-3473 Fix Not Properly Closed Resources ( <link> ) 
0,"Bug:  <file_name>  lost test <iden> from a separate class loader ( <link> )  <enter> * Bug:  <file_name>  lost test <iden> from a separate class loader <enter> When junit.jar located in one <iden> but runing tests in another  <file_name>  can lost information about run class. For example if use <iden> and request test  <method_name>  <file_name>  we can get null, because  <file_name>  instead of set <iden> as is to  <file_name>  tranform it to class name string, as result  <method_name>  execute <iden>.forName and can't find test class. <enter> Spring-test fail with exception if we try use SpringClassRule <enter>  <enter> As solution, now  <file_name>  create Descriptor with explicit specify <iden>, name and uses annotations. <enter> * Restore backward compatibility with sub class of  <file_name>  that override <iden> method * Add  <file_name>  to  <file_name>  suite "
3,Code review 
0,Remove outdated reference 
3,Added description and download info for <iden>. 
0,Remove obsolete <iden> 
0,Add support for connect start/end events. ( <link> ) 
0,Default to optimized launch of the JVM when using spring-boot:run  <enter> See  <link> 
0,Add <iden> slice test support  <enter> Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. <enter> See  <link> 
0,Update version to <version> 
2, <file_name>  should be in junit*.zip 
0,Updated  <file_name>  
3,JUnit4 runner as a pointer to the current default 
3,Failing assumptions can be listened for. 
2,Better validation in  <file_name>  
0,"Switched classpath to Execution Environment <iden> <version>, in hopes all developers will match that. "
3,Move deprecated classes back where they used to be. 
3,Finishing javadoc for org.junit.runner.* 
3,Javadocs for three more classes 
3,Added profile task to  <file_name>  
0,JavaDoc cleanup 
0,"A  <file_name>  can be explicitly passed to a <iden> class that needs one in its constructor. This eliminates the ugly global constant  <file_name>  in  <file_name> , and breaks the cyclic dependency between runners and requests "
3,"Invalid assumptions, failed tests, and ignored tests now all print similarly "
0,Remove unnecessary comments 
0,New <iden> implementation makes  <file_name>  crazy simple 
3," <file_name>  handles filtering and sorting for all runners, now including  <file_name>  "
2,Ignored tests should be shown differently in stack trace section of report 
0,Remove old todo 
3,Moved  <file_name>  into proper package 
3,"No matching parameters is now an assumption failure, not an assertion failure "
1,Remove 
3,Ignore target directory 
3,Now includes filtering 
3,Pull <iden> up into  <file_name>  
0,"- Moved  <file_name>  to  <file_name> , since it was only used by  <enter> subclasses of  <method_name>  - Broke up <iden> into  <file_name>  (which makes it more clear that these methods can also be Before, After, etc.), and  <file_name>  (for specific information only available on the  @test  annotation). - Created  <file_name>  to encapsulate the relationship between  @test ,  @before , and  @after .  This class may go away again quickly - Updated version in docs to <version> - Included docs about junit-dep jar "
0,"Fixed a bug in  <file_name>  classes with constructor parameters, where the method parameters and constructor parameters were switched "
2,Theory classes can take constructor parameters 
0,"- Simplified <iden> code by assuming that all datapoints are static  <enter> (every one I've ever written is) <enter> - Removed  <file_name>  from  <file_name>  (makes the class more cohesive, but requires the notifier to get passed around a bunch. <iden> added to look at this.) <enter> - Extracted  <file_name> , absorbed  <file_name>  into  <method_name> Better cohesion, less coupling <enter> -  <method_name>  is no longer needed.  It was a nasty little beast and will not be missed. <enter> - Added comment to  <file_name>  <iden> <enter> - Added  <method_name>  probably change in upcoming model package revamp anyway "
3,"Removed  <file_name> , replaced with  <file_name> , which moved to model package with  <file_name>  "
3,"- Renamed link classes.  <enter> Absolute actions are verbs:  <file_name> ,  <method_name>  ActionModifiers are modifying phrases:  <file_name> ,  <file_name> , etc. <enter> - Moved isShadowedBy(List) to  <file_name>  "
3,Reorganize tests 
3,"Leave this method in--it's used by the JMock custom runner, and possibly others "
3,Re-organize theory packages 
0,Added script for uploading docs 
3,"Created a separate  <file_name>  directory for new  <file_name>  scripts, including FTP upload "
3,Methods on inaccessible superclasses of test classes are caught during validation 
0,Updated README about Enclosed 
3,Add <iden> wrapper validation 
2,Fix  <file_name>  conditional 
0,Add <iden> integration tests 
3,Switch to GitHub Actions 
3,Small fixes from error-prone 
0,Prepare version <version> 
0,Prepare version <version> 
3,Add coroutine support to  <file_name>  
0,"Migrate forced suspension mechanism from yield to <iden>  <enter> Since it's possible for certain dispatchers to completely avoid yielding, and currently the immediate dispatchers exhibit this behavior, we need an alternate mechanism of forcing suspension or UndeclaredThrowableExceptions will still be seen. <enter> Retrofit does not have its own thread pool onto which we can defer resuming. Instead we rely to <iden> and forcibly suspend the caller using low-level coroutine intrinsics. "
0,Prepare version <version> 
0,Prepare version <version> 
3,Switch to OpenJDK 
0,"Allow service interfaces to extend other interfaces  <enter> With a higher minSdkVersion, the bug which prevented this on <iden> no longer exists. "
0,Add more obviously missing @nullable annotations 
3,Back suspend methods with the <iden> for <iden>.  <enter> This allows the regular mechanism of composition of behavior without explicitly needing to model suspending functions in the API. 
0,Add some missing @nullable annotations to  <file_name>  
0,Add annotation for skipping the callback executor 
0,"Fatal errors should crash the dispatcher thread  <enter> This is an imperfect fix as uncaught exceptions reaching  <file_name>  which are not fatal still only log, but most of the adapters are defending against anything getting this far already. <enter> Also contained is a fix for the <iden> 2 async adapter. Non-200 responses delivered to the body observer would be forwarded to <iden>. If that callback threw a fatal exception, it would be re-delivered to the body observer despite it having already called a downstream terminal method. The fatal error should have been propagated by the async observer instead of attempting to make its way back downstream. "
0,Add some missing Nullable annotations 
0,Add some missing Nullable annotations 
0,Use a dummy value to further validation optional delegation  <enter> Prior to this other things might cause a null value. This ensures the value can only come from only place. 
0,Clean out <iden> 8 READMEs to further discourage use 
0,Prepare next development version 
0,Expose static factory for  <file_name> <enter> Also rework the internals of how an  <file_name>  gets instantiated and set as a tag on the <iden>. This will make a future change easier to land. 
3,Add reified create extension for <iden> 
0,"Re-work unresolvable type detection in parameters  <enter> In order to natively support Kotlin's 'suspend' modifier in the future, we need to allow wildcards to be used for the last parameter. As a result, we only validate the shape of a type once a <iden> annotation is detected. "
0,Get rid of the now-useless  <method_name> <enter> A simple static factory will do. 
0,Update to <iden> <version>  <enter> Use get instead of parse for <iden> and <iden> where valid input is always required. 
3,Consolidate exception formatters in one place 
0,Pull out  <file_name>  base class  <enter> This will allow us to support multiple forms of invocation beyond <iden> calls. 
0,Remove old <iden> nonsense.  <enter> As of API 26 the android.jar contains the classes checked by <iden> and used by <iden>.Java8. And we don't encourage throwing checked exceptions from the service method but instead routing them through your call adapter. 
0,Migrate from Travis to GitHub Action for publishing 
3,Update  <file_name>  factories to be idiomatic <iden> 
0,Beef up  <file_name> 's toString  <enter> Previously it unconditionally showed tags even if empty and would not show headers. 
3,Convert hex digit parser to extension function 
3,Tolerate null-hostile lists in public API 
3,Make error-prone validate missing override annotations 
3,"Skip UTF-8 decode of keys, defer UTF-8 decode of data "
0,Don't throw  <file_name>  on permission errors  <enter> Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors. <enter>  Fixes <link> 
0,Polish 'Fix Spring <iden> job restart parameters handling'  <enter> See  <link> 
0,Drop annotation processor spring-core dependency  <enter> Remove the spring-core dependency from the annotation processor. (cherry-picked from  <link> ) <enter>  Fixes <link> 
0,"Support path discovery for main dispatcher servlet  <enter> Add an ` <file_name> ` interface which provides a much more consistent way to discover the path of the main dispatcher servet. <enter> Prior to this commit, auto-configurations would often make use of the ` <file_name> ` class to discover the dispatcher servlet path. This mechanism isn't very explicit and also makes it hard for us to relocate that property in <iden> <version>. <enter> This commit also reverts most of  <link>  since it is now clear that the supporting multiple dispatcher servlet paths will be much more involved that we originally anticipated. <enter>  Closes <link> "
0,Move files from  <file_name>  <file_name>  into  <file_name> <enter> Move the ` <file_name> ` file from  <file_name> ` into ` <file_name> ` since the IDE plugin supports both. 
1,Polish 
0,Allow <iden> to be `<iden>`  <enter> Switch `<iden>` to use regular `<iden>` injection for <iden> testers. Prior to this commit <iden> fields were initialized directly which caused IDE issues and was also a little confusing. <enter>  Fixes <link> 
0,Default <iden> to not save SESSIONS.ser file  <enter> Update  <file_name>  so that session data isn't serialized by default. Prior to this commit the SESSIONS.ser file would either be written to `/tmp` or into `<iden>` (if one was set). <enter> By not saving session data we align <iden> with the other embedded servlet containers and reduce the risk of sensitive information being left in `/tmp`. <enter>  Fixes <link> 
0,Fixup version numbers following release 
3,Migrate  <file_name>  to context runner 
2,Fix checkstyle violations 
1,Polish 
0,Reformat code using Spring code formatter plugin 
0,Improve logging of <iden> port(s)  <enter> Fixes <link> 
0,Improve startup times  <enter> Improve startup times (although not by much) by adding more background pre-initializers and lazily evaluating the whitelabel SpEL view. <enter> See  <link> 
0,Automatically <iden> in the cloud  <enter> Update ` <file_name> ` to automatically enable `use-forward-headers` when running on a cloud platform. <enter> A new ` <file_name> ` enum has been introduced that detects <iden> and <iden>. <enter> See  <link> 
2,Fix tests failing on Windows 
0,Rename classpath runner package  <enter> Remove `runner` since we're no longer tied to <iden> 4. <enter> See  <link> 
0,Make <iden> a default method  <enter> Change ` <method_name>  to have a default implementation that return `<iden>`. <enter>  Fixes <link> 
0,Allow early <iden> filtering  <enter> Update ` <file_name> ` to be an `<iden>` and filter out classes early. <enter>  Closes <link> 
0,"Reinstate devtools debug logging with opt-out  <enter> Reinstate `web` logging when devtools is in use, making use of the new logging groups support. <iden> now also logs an `INFO` message informing that properties defaults are offers an easy way to disable them. <enter>  Closes <link> "
0,Update actuator security documentation  <enter> Update documentation to align with the new role based method. <enter> See  <link> 
1,Polish 
0,"Add <iden> 7 and <iden> 8 samples  <enter> Switch the <iden> 8 and <iden> 9 samples to <iden> 7 and <iden> 8. Since <iden> 8 and <iden> 9 are now the default versions the previous samples are no longer relevant, however, we do need integration tests to check that we remain compatible with <iden> 7 and <iden> 8. <enter> See  <link> "
0,Use the Mongo starter for the sample application  <enter> See  <link> 
0,Add <iden> 5  <file_name>  rules  <enter> Add a rule to enforce <iden> 5 usage and conventions. <enter>  Closes <link> 
1,Polish 
2,Fix failing test 
3,Add initializer support  <enter> Add `<iden>` support to ` <file_name> `. 
0,Log warning on slow host resolution  <enter> Update ` <file_name> ` so that if the `<iden>` call takes more than 200ms a warning is logged. <enter>  Closes <link> 
2,Fix merge conflict  <enter> Closes <link> 
0,Change LoggingSystemTests to use real temp folder  <enter> Update  <file_name>  to use a <iden> rule. <enter>  Fixes <link> 
0,"Add <iden> support classes  <enter> Add support classes for the <iden> library, including: <enter> - A <iden> friendly <iden> and <iden>. - A <iden> to apply 'depends-on' ordering automatically. - A bindable properties class for type-safe configuration. <enter> See  <link> "
1,Polish 
0,Apply micrometer <iden> beans automatically  <enter> Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied. <enter>  Fixes <link> 
0,Add support for Restarting applications  <enter> Add  <file_name>  class that can be used to restart a running application when underlying class files change. The  <file_name>  is automatically initialized via a <iden> and automatically detects classpath <iden> that are likely to change (when not running from a fat jar). <enter> See  <link> 
0,Fix  <file_name>  outer class tangle  <enter> Fixes <link> 
0,Move 'testdb' naming to  <file_name> <enter> Move the 'testdb' naming logic to ` <file_name> ` and expose the `deduceDatabaseName` method so they can be used in auto-configuration. <enter> See  <link> 
0,Add <iden>  <file_name>  rule  <enter> Closes <link> 
0,Don't fail build on duplicate module-info classes  <enter> Update the duplicate-finder-maven-plugin configuration to ignore module-info classes. <enter>  Closes <link> 
1,Polish 
2,Fix checkstyle errors 
0,Add byte-buddy managed dependency  <enter> Add a managed dependency for byte-buddy since Mockito needs <version> and Hibernate pulls in <version>. <enter> See  <link> 
0,fix README.md typo ( <link> ) 
2,Fix single failing graal test ( <link> ) 
0,Kotlin <version> ( <link> )  <enter> * Early testing with kotlin <version> <enter> * Update  <file_name>  <enter> * Kotlin <version> RC <enter> * Kotlin <version> RC <enter> * Update  <file_name>  
0,Android Additional Tests ( <link> ) 
0,Test docs and unit test ( <link> ) 
0,Move osgi tests to Junit 5 ( <link> ) 
0,Move connection tests to Junit 5 ( <link> ) 
0,Move authenticator tests to Junit 5 ( <link> ) 
0,Migrate <iden> tests to Junit5 ( <link> ) 
2,Android 11 ( <link> ) 
0,Avoid DefaultImpls bug ( <link> )  <enter> * Avoid DefaultImpls bug <enter> * private classes 
0,Fix flaky  <file_name>  ( <link> )  <enter> * Fix flaky  <file_name>  <enter> * <iden> for flaky cancel event 
0,Document auth retries function ( <link> )  <enter> * Document auth retries function <enter> * Update  <file_name>  
0,Cache <iden> ( <link> )  <enter> Provide  <file_name>  methods to understand the impact of caching. 
0,Android <iden> ( <link> ) 
0,"Centralise logging behind JUL ( <link> )  <enter> Use JUL, but wire up to the  <method_name>  <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels. "
0,Android docs for selecting devices 
2,Confirm <iden> shutdown is idempotent ( <link> ) 
0,Kotlin <version> and misc dep upgrades ( <link> ) 
0,Close Android test properly in case it passes ( <link> )  <enter> * Close test properly in case it passes <enter> * Fix 
0,Allowlist Sample for connecting to <iden> servers ( <link> ) 
0,Allow for users who have disabled certificate checks in dev. ( <link> )  <enter> * Allow for users who have disabled certificate checks in dev. <enter> * Avoid repeated calls <enter> * typo <enter> * Lock is assumed at this point <enter> * Stay safe <enter> * rework <enter> * spotless <enter> * Fix <enter> * Handle one more case <enter> * Capture the exception <enter> * Add test <enter> * Comment 
0,Android 10 support for <iden> ( <link> ) 
0,Test <iden> with <iden> provider ( <link> ) 
2,Fix master build ( <link> ) 
0, <file_name>  returns cleaned peer certificates ( <link> )  <enter> * Pass through clean certificates in  <file_name>  <enter> * Actual do the work <enter> * Add test that cleaner is called <enter> * Defer work <enter> * cleanup <enter> * Clean certs in deprecated method also <enter> * Revert more <enter> * Inline <enter> * Review comments 
0,<iden> for <iden> ( <link> )  <enter> * <iden> for <iden> <enter> * <iden> for tls version <enter> * Comment <enter> * Fix <enter> * <iden> <enter> * Explore public socket <iden> <enter> * Fix platform testing <enter> * <iden> socket type <enter> * Revert circleci change 
0,Add proxy event logging ( <link> ) 
2,Passing conscrypt test ( <link> ) 
0,"Testing with <iden> 12 and latest <version> ( <link> )  <enter> <iden> 12 and be more specific about when we expect failures, e.g. <version> has fixes we should take into account. "
0," <file_name>  check <iden> instead of idle ( <link> )  <enter> *  <file_name>  check <iden> instead of idle <enter> Clients should be clean after use, not just from idle connections. <enter> * Abandon unclean clients <enter> * Simplify logic "
0,Run cron schedule in circleci ( <link> ) 
0,Save reports ( <link> ) 
